property,unit,depth_interval,year_interval,type,Resolution,scaler,filename,description,s3 paths,DOI
socd,kg/m3,0..30cm,2000-2005,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b0cm..30cm_20000101_20051231_g_epsg.4326_v20250204.tif,https://doi.org/10.5281/zenodo.15470432
socd,kg/m3,0..30cm,2005-2010,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b0cm..30cm_20050101_20101231_g_epsg.4326_v20250204.tif,
socd,kg/m3,0..30cm,2010-2015,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b0cm..30cm_20100101_20151231_g_epsg.4326_v20250204.tif,
socd,kg/m3,0..30cm,2015-2020,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b0cm..30cm_20150101_20201231_g_epsg.4326_v20250204.tif,
socd,kg/m3,0..30cm,2020-2022,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b0cm..30cm_20200101_20221231_g_epsg.4326_v20250204.tif,
socd,kg/m3,30..60cm,2000-2005,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b30cm..60cm_20000101_20051231_g_epsg.4326_v20250204.tif,
socd,kg/m3,30..60cm,2005-2010,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b30cm..60cm_20050101_20101231_g_epsg.4326_v20250204.tif,
socd,kg/m3,30..60cm,2010-2015,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b30cm..60cm_20100101_20151231_g_epsg.4326_v20250204.tif,
socd,kg/m3,30..60cm,2015-2020,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b30cm..60cm_20150101_20201231_g_epsg.4326_v20250204.tif,
socd,kg/m3,30..60cm,2020-2022,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b30cm..60cm_20200101_20221231_g_epsg.4326_v20250204.tif,
socd,kg/m3,60..100cm,2000-2005,mean,30m,0.1,oc_iso.10694.1995.mg.cm3,Organic carbon density derived by multiply fine earth bulk density and organic carbon content; Block prediction for SOC density [kg/m3] between depths across five years.,https://s3.opengeohub.org/global-soil/global_soil_props_v20250204_mosaics/oc_iso.10694.1995.mg.cm3_m_30m_b60cm..100cm_20000101_20051231_g_epsg.4326_v20250204.tif,
